k_value,p_value,paa_value,max_level,ncp
6,4,5,7,0.2878329381533258
6,4,5,8,0.28562253516254094
6,4,5,9,0.28523317463828285
6,4,5,10,0.2871429644818558
6,3,3,5,0.22152973794135758
6,3,3,6,0.23497528811277163
6,3,3,7,0.2650642187632794
6,3,3,8,0.2765521027928829
6,3,3,9,0.2886415023735331
6,3,3,10,0.2861383133010869
6,3,4,5,0.27616388358849636
6,3,4,6,0.2791409014546781
6,3,4,7,0.3093407394543501
6,3,4,8,0.3154481648794895
6,3,4,9,0.31184352832030127
6,3,4,10,0.3108902084170481
6,3,5,5,0.261997504608634
6,3,5,6,0.2642199461134725
6,3,5,7,0.26681773760710464
6,3,5,8,0.26606005387686393
6,3,5,9,0.2623642311588456
6,3,5,10,0.2650248749420609
6,2,3,5,0.20311532061656115
6,2,3,6,0.204918997003665
6,2,3,7,0.22091550242070387
6,2,3,8,0.22679602257511874
6,2,3,9,0.23843154405322484
6,2,3,10,0.2422239228161511
6,2,4,5,0.23998597298240915
6,2,4,6,0.23988637397240242
6,2,4,7,0.2668723126343102
6,2,4,8,0.2747492873366157
6,2,4,9,0.2759718329164458
6,2,4,10,0.2814505413134301
6,2,5,5,0.23880147051573777
6,2,5,6,0.2398292987899369
6,2,5,7,0.2364120087353923
6,2,5,8,0.2405125830790409
6,2,5,9,0.23979292033268004
6,2,5,10,0.23703966123281797
7,6,3,5,0.29562583587200947
7,6,3,6,0.30018180451718773
7,6,3,7,0.3500397963301883
7,6,3,8,0.3650996723409207
7,6,3,9,0.3930232487526909
7,6,3,10,0.39446297527775787
7,6,4,5,0.3840317418541924
7,6,4,6,0.3797130721250005
7,6,4,7,0.3829897558057561
7,6,4,8,0.38034965909966717
7,6,4,9,0.39037358019262197
7,6,4,10,0.38637618475760704
7,6,5,5,0.3526497685049702
7,6,5,6,0.34386708164582036
7,6,5,7,0.35037416528707294
7,6,5,8,0.347781538530743
7,6,5,9,0.35109713741126136
7,6,5,10,0.3443844671363227
7,5,3,5,0.27668695820071226
7,5,3,6,0.280479622081795
7,5,3,7,0.3351676017112592
7,5,3,8,0.3475919901095054
7,5,3,9,0.3781412407031805
7,5,3,10,0.3728825457502444
7,5,4,5,0.35824868199566406
7,5,4,6,0.3631421072395693
7,5,4,7,0.36877899635140793
7,5,4,8,0.37242539251146195
7,5,4,9,0.3729462283430781
7,5,4,10,0.3664934161160757
7,5,5,5,0.322188663173688
7,5,5,6,0.32862414843513177
7,5,5,7,0.31519947398651893
7,5,5,8,0.31589522001551834
7,5,5,9,0.31948072553055656
7,5,5,10,0.3168050572708565
7,4,3,5,0.2637238736504955
7,4,3,6,0.26840212822629533
7,4,3,7,0.30003212015159736
7,4,3,8,0.3165288671355151
7,4,3,9,0.3421404811861534
7,4,3,10,0.34526232203254864
7,4,4,5,0.3306335188523334
7,4,4,6,0.33559104395110967
7,4,4,7,0.35221871899795304
7,4,4,8,0.36351608684639114
7,4,4,9,0.35964927436245125
7,4,4,10,0.36142525632326333
7,4,5,5,0.30184230302450105
7,4,5,6,0.30091386811267856
7,4,5,7,0.30478070452558154
7,4,5,8,0.2964251924839349
7,4,5,9,0.29933863077259854
7,4,5,10,0.29816699773114075
7,3,3,5,0.24514761197319193
7,3,3,6,0.2361422789777809
7,3,3,7,0.2751534067209676
7,3,3,8,0.28622093638609325
7,3,3,9,0.3008057855978119
7,3,3,10,0.29727459662296596
7,3,4,5,0.2918193463512451
7,3,4,6,0.2867792291827781
7,3,4,7,0.3213474098466496
7,3,4,8,0.3280085138077873
7,3,4,9,0.32780832759855955
7,3,4,10,0.3281111361324995
7,3,5,5,0.27845566888257317
7,3,5,6,0.27725300197269986
7,3,5,7,0.27567285015122167
7,3,5,8,0.27756237051831656
7,3,5,9,0.27914665268949795
7,3,5,10,0.27648936838409877
7,2,3,5,0.21202822950084604
7,2,3,6,0.2129704256608407
7,2,3,7,0.22713884325272135
7,2,3,8,0.24433108708499268
7,2,3,9,0.25365029506504716
7,2,3,10,0.2594292337665459
7,2,4,5,0.24993725619275625
7,2,4,6,0.246075942043738
7,2,4,7,0.2795533595608716
7,2,4,8,0.2836280681869008
7,2,4,9,0.28622467019711983
7,2,4,10,0.29294249748196155
7,2,5,5,0.2548317380493108
7,2,5,6,0.25118891031581164
7,2,5,7,0.2518829534684764
7,2,5,8,0.25654708336397897
7,2,5,9,0.2550621793248682
7,2,5,10,0.24987764926085254
8,7,3,5,0.3325527972474969
8,7,3,6,0.32968943789949373
8,7,3,7,0.37990327425124354
8,7,3,8,0.40647204423816274
8,7,3,9,0.4179211403002035
8,7,3,10,0.4229428784099392
8,7,4,5,0.39684403842477584
8,7,4,6,0.399879431710475
8,7,4,7,0.3997948068947041
8,7,4,8,0.4007574903525096
8,7,4,9,0.3999827511010545
8,7,4,10,0.398980886532024
8,7,5,5,0.36967020227868547
8,7,5,6,0.36454336056471137
8,7,5,7,0.36408541567478436
8,7,5,8,0.36146779937117823
8,7,5,9,0.37471008805143174
8,7,5,10,0.3700297600780355
8,6,3,5,0.3024749656712611
8,6,3,6,0.30511385903575566
8,6,3,7,0.3604529945864297
8,6,3,8,0.3769771783021542
8,6,3,9,0.4106799735051157
8,6,3,10,0.4119297369847309
8,6,4,5,0.3920944726441426
8,6,4,6,0.3913102935458043
8,6,4,7,0.39000331827923646
8,6,4,8,0.3882175287638101
8,6,4,9,0.3891248105349451
8,6,4,10,0.38918675315116336
8,6,5,5,0.3573379961179275
8,6,5,6,0.35910916022914785
8,6,5,7,0.36298852902505524
8,6,5,8,0.35585774721704877
8,6,5,9,0.3601488753520049
8,6,5,10,0.3587342749912201
8,5,3,5,0.28910642361483807
8,5,3,6,0.2941790603008938
8,5,3,7,0.336575350768842
8,5,3,8,0.35874627171797113
8,5,3,9,0.3834785477439559
8,5,3,10,0.3817875644073251
8,5,4,5,0.37619663122036584
8,5,4,6,0.36705816542106295
8,5,4,7,0.3853046253571157
8,5,4,8,0.38351599296041916
8,5,4,9,0.3751308778754005
8,5,4,10,0.3750271051828717
8,5,5,5,0.33416797109142476
8,5,5,6,0.3315474325621073
8,5,5,7,0.33032191135839245
8,5,5,8,0.3315503662851578
8,5,5,9,0.3277280079755821
8,5,5,10,0.3259903203260517
8,4,3,5,0.27756024262525175
8,4,3,6,0.27107661242597686
8,4,3,7,0.3050641985295438
8,4,3,8,0.32430776755016105
8,4,3,9,0.35213578443846505
8,4,3,10,0.35496805597510855
8,4,4,5,0.34501959261578896
8,4,4,6,0.3396104539378875
8,4,4,7,0.3667874028450204
8,4,4,8,0.36689699064299225
8,4,4,9,0.3645834959781625
8,4,4,10,0.3647042345422693
8,4,5,5,0.30900864869365163
8,4,5,6,0.3082123976656934
8,4,5,7,0.3119074976680774
8,4,5,8,0.30999504200794487
8,4,5,9,0.30725885547643766
8,4,5,10,0.31360678319299135
8,3,3,5,0.24997042625453056
8,3,3,6,0.2466885542817177
8,3,3,7,0.28721872064625126
8,3,3,8,0.2920881611714445
8,3,3,9,0.3065763357554835
8,3,3,10,0.3060253272174677
8,3,4,5,0.2983520958883919
8,3,4,6,0.30206867845675567
8,3,4,7,0.3308384048184255
8,3,4,8,0.3322615515255985
8,3,4,9,0.33356895680839044
8,3,4,10,0.33229467895067893
8,3,5,5,0.2945747951037613
8,3,5,6,0.2951016213413217
8,3,5,7,0.2856120831066768
8,3,5,8,0.28535360074779764
8,3,5,9,0.2958140383731613
8,3,5,10,0.28664368645004834
8,2,3,5,0.21922013211910374
