k_value,p_value,paa_value,max_level,ncp
6,2,3,7,4.113452205404292
6,2,3,8,5.9310267657179825
6,2,3,9,4.976520827999756
6,2,3,10,6.473882340797787
6,2,4,5,6.173787993030519
6,2,4,6,6.007390916303165
6,2,4,7,4.5176014002489655
6,2,4,8,4.6760551223685
6,2,4,9,8.062767266205846
6,2,4,10,6.889571961444835
6,2,5,5,3.870499833755999
6,2,5,6,5.466049632739111
6,2,5,7,5.30919253890346
6,2,5,8,6.820519895468295
6,2,5,9,7.0358374303668
6,2,5,10,6.222564760674433
7,6,3,5,6.178884257616987
7,6,3,6,7.513641438773211
7,6,3,7,10.102053321765837
7,6,3,8,10.894054569518177
7,6,3,9,10.90880342399308
7,6,3,10,10.97569453731878
7,6,4,5,10.434936986230369
7,6,4,6,7.516515228479588
7,6,4,7,10.140511194593007
7,6,4,8,12.862737324686405
7,6,4,9,12.50812649931811
7,6,4,10,12.456199909522141
7,6,5,5,10.04290274722375
7,6,5,6,11.00068848670671
7,6,5,7,12.532495905962561
7,6,5,8,12.532495905962561
7,6,5,9,11.57912849154663
7,6,5,10,11.57912849154663
7,5,3,5,5.927968925787974
7,5,3,6,5.844066818864568
7,5,3,7,8.180269945397695
7,5,3,8,8.0197597707825
7,5,3,9,11.196112101285939
7,5,3,10,11.752628131966757
7,5,4,5,9.597070621667955
7,5,4,6,9.534519026549441
7,5,4,7,9.035812534602425
7,5,4,8,11.048529400425322
7,5,4,9,11.54003163616512
7,5,4,10,12.266635368336429
7,5,5,5,8.474087185232847
7,5,5,6,8.417231464564438
7,5,5,7,8.857024067032404
7,5,5,8,10.984447584684503
7,5,5,9,11.333562659306729
7,5,5,10,11.333562659306729
7,4,3,5,8.502790124845559
7,4,3,6,8.843081498585944
7,4,3,7,9.10876804921659
7,4,3,8,8.016800132925392
7,4,3,9,10.18006416779171
7,4,3,10,8.412132226687351
7,4,4,5,5.791402281482719
7,4,4,6,5.9329849023374575
7,4,4,7,8.256769211420787
7,4,4,8,9.373673699595507
7,4,4,9,10.58693189606159
7,4,4,10,9.306706196161063
7,4,5,5,7.098523046246285
7,4,5,6,7.104024601560654
7,4,5,7,7.37751375860839
7,4,5,8,8.174767134089628
7,4,5,9,8.139489482244464
7,4,5,10,8.136079743008851
7,3,3,5,6.22259944149659
7,3,3,6,7.2665697588019755
7,3,3,7,5.221005051052527
