k_value,p_value,paa_value,max_level,ncp
6,4,4,5,15.051434853286096
6,4,4,6,15.065134655582717
6,4,4,7,15.54076119144045
6,4,4,8,15.630206852646982
6,4,4,9,15.737691229407739
6,4,4,10,15.720893784336777
6,4,5,5,12.899570289140376
6,4,5,6,12.948819228218147
6,4,5,7,12.721059384256764
6,4,5,8,12.792303251119192
6,4,5,9,12.813041933091302
6,4,5,10,12.842591868873562
6,3,3,5,9.040199200732115
6,3,3,6,9.097351303651283
6,3,3,7,11.511575853156879
6,3,3,8,11.906280678254609
6,3,3,9,12.583143420265111
6,3,3,10,13.00208621919114
6,3,4,5,12.6393993534334
6,3,4,6,12.571401959130853
6,3,4,7,13.818771617990235
6,3,4,8,13.928767424056772
6,3,4,9,13.904365217131868
6,3,4,10,13.814788785339742
6,3,5,5,11.509924397755709
6,3,5,6,11.783190933784754
6,3,5,7,11.646277656737745
6,3,5,8,11.662989614844298
6,3,5,9,11.944298845120002
6,3,5,10,11.902473405466543
6,2,3,5,7.8942299821380555
6,2,3,6,8.03430039900802
6,2,3,7,8.878735961159173
6,2,3,8,9.240325899877691
6,2,3,9,10.232733502916641
6,2,3,10,9.955154624636613
6,2,4,5,9.792983951681293
6,2,4,6,9.947900999907652
6,2,4,7,11.396795928128489
6,2,4,8,11.647279186074272
6,2,4,9,11.974095987363038
6,2,4,10,11.74203739212163
6,2,5,5,10.104221019109795
6,2,5,6,10.079095802146291
6,2,5,7,10.224678206405878
6,2,5,8,10.180957150512672
6,2,5,9,10.13718053810019
6,2,5,10,10.251083284440446
7,6,3,5,12.738478265972763
7,6,3,6,12.850904457856709
7,6,3,7,15.943479506791505
7,6,3,8,16.749911038629712
7,6,3,9,17.86383345334615
7,6,3,10,18.60023556465338
7,6,4,5,17.29881456460982
7,6,4,6,16.948153096777776
7,6,4,7,16.95442419975643
7,6,4,8,17.298934259718326
7,6,4,9,17.189623557631514
7,6,4,10,17.27454748177219
7,6,5,5,15.215699824217536
7,6,5,6,15.077549467946982
7,6,5,7,15.116350597765882
7,6,5,8,15.04458747564942
7,6,5,9,14.91539281276542
7,6,5,10,14.953111807651366
7,5,3,5,12.018205949213018
7,5,3,6,11.9564162120248
7,5,3,7,14.960915124763636
7,5,3,8,15.52978059456207
7,5,3,9,17.013577935366367
7,5,3,10,16.999776867882787
7,5,4,5,16.59679683702009
7,5,4,6,16.201686405735792
7,5,4,7,16.69409999342434
7,5,4,8,16.633699292672976
7,5,4,9,16.269842054009565
7,5,4,10,16.24137773509203
7,5,5,5,14.652503071652282
7,5,5,6,14.650229167557086
7,5,5,7,14.452762888167433
7,5,5,8,14.539751765855268
7,5,5,9,14.579587571208354
7,5,5,10,14.54307574724732
7,4,3,5,10.562551619090634
7,4,3,6,10.778976587700738
7,4,3,7,13.43092929154212
7,4,3,8,14.003675558222756
7,4,3,9,15.462908031041202
7,4,3,10,15.321342054811334
7,4,4,5,15.285165495248
7,4,4,6,15.554281469344039
7,4,4,7,16.13542445520053
7,4,4,8,15.914012706688595
7,4,4,9,16.181918192426267
7,4,4,10,16.072191546278493
7,4,5,5,13.222188581036194
7,4,5,6,13.281723800248843
7,4,5,7,13.284576947181291
7,4,5,8,13.725321608984565
7,4,5,9,13.28585416674899
7,4,5,10,13.274743745275636
7,3,3,5,10.29461951860013
7,3,3,6,9.772493411984371
7,3,3,7,12.148364663290808
7,3,3,8,12.193917291887354
7,3,3,9,13.30600138087005
7,3,3,10,13.369612561323036
7,3,4,5,13.165725037335406
7,3,4,6,13.018062077851422
