['k_value', 'p_value', 'paa_value', 'max_level', 'ncp']
[12, 7, 5, 9, 263.0044344327426]
[12, 7, 5, 10, 261.4424612471968]
[13, 7, 3, 5, 242.81910890873607]
[13, 7, 3, 6, 249.6780828942322]
[13, 7, 3, 7, 276.99892893910356]
[13, 7, 3, 8, 298.5715288059622]
[13, 7, 3, 9, 324.0663484860755]
[13, 7, 3, 10, 324.9008609773728]
[13, 7, 4, 5, 291.3968185984892]
[13, 7, 4, 6, 292.62561668517264]
[13, 7, 4, 7, 293.0813928335653]
[13, 7, 4, 8, 294.5377453261615]
[13, 7, 4, 9, 294.37533380488634]
[13, 7, 4, 10, 295.69260780870474]
[13, 7, 5, 5, 260.1066281179104]
[13, 7, 5, 6, 263.4184115391003]
[13, 7, 5, 7, 260.14607122961814]
[13, 7, 5, 8, 261.71657371674917]
[13, 7, 5, 9, 265.4060682464725]
[13, 7, 5, 10, 269.68476409074935]
