['k_value', 'p_value', 'paa_value', 'max_level', 'ncp']
[4, 3, 4, 7, 189.30872631997426]
[4, 3, 4, 8, 189.78815058061116]
[4, 3, 4, 9, 190.22447689403953]
[4, 3, 4, 10, 189.99446964312423]
[4, 3, 5, 5, 161.4900491435966]
[4, 3, 5, 6, 163.93016373545106]
[4, 3, 5, 7, 165.04967005150382]
[4, 3, 5, 8, 161.83821475049893]
[4, 3, 5, 9, 163.0678039877347]
[4, 3, 5, 10, 161.42657581350687]
[5, 3, 3, 5, 136.37088486500775]
[5, 3, 3, 6, 141.20549776338447]
[5, 3, 3, 7, 165.84865133111282]
[5, 3, 3, 8, 179.51873913788876]
[5, 3, 3, 9, 185.93606216400678]
[5, 3, 3, 10, 189.58869060270874]
[5, 3, 4, 5, 186.8101321969695]
[5, 3, 4, 6, 183.64488301354228]
[5, 3, 4, 7, 201.0272333829617]
[5, 3, 4, 8, 199.94562940085618]
[5, 3, 4, 9, 202.70874822862046]
[5, 3, 4, 10, 202.47826643130836]
[5, 3, 5, 5, 174.21165129646263]
[5, 3, 5, 6, 174.8777538656703]
[5, 3, 5, 7, 172.702336077763]
[5, 3, 5, 8, 175.56770277212166]
[5, 3, 5, 9, 175.75239712292316]
[5, 3, 5, 10, 169.5751363637426]
[6, 3, 3, 5, 144.02072162466408]
[6, 3, 3, 6, 152.4996731205167]
[6, 3, 3, 7, 173.58592104076666]
[6, 3, 3, 8, 184.07474347176947]
[6, 3, 3, 9, 196.1273428217394]
[6, 3, 3, 10, 198.03010319243702]
[6, 3, 4, 5, 188.9426063778458]
[6, 3, 4, 6, 194.65965362629646]
[6, 3, 4, 7, 213.19939978504888]
[6, 3, 4, 8, 207.99351668739098]
[6, 3, 4, 9, 211.1065209585066]
[6, 3, 4, 10, 209.79729354120946]
[6, 3, 5, 5, 183.62423513456844]
[6, 3, 5, 6, 180.85005840876082]
[6, 3, 5, 7, 182.25851565266507]
[6, 3, 5, 8, 175.34956184974806]
[6, 3, 5, 9, 183.05515274473447]
[6, 3, 5, 10, 176.31333302955835]
[7, 3, 3, 5, 152.90435490980792]
[7, 3, 3, 6, 157.40064609485836]
[7, 3, 3, 7, 184.72965717600633]
[7, 3, 3, 8, 190.1327188093151]
[7, 3, 3, 9, 200.46596257927288]
[7, 3, 3, 10, 207.144716761528]
[7, 3, 4, 5, 198.96272335693234]
[7, 3, 4, 6, 198.41818429225597]
[7, 3, 4, 7, 218.13218887032457]
[7, 3, 4, 8, 216.64348980170809]
[7, 3, 4, 9, 219.2885236151629]
[7, 3, 4, 10, 216.31597813718898]
[7, 3, 5, 5, 186.59895937433933]
[7, 3, 5, 6, 186.51567763449464]
[7, 3, 5, 7, 183.91159972210818]
[7, 3, 5, 8, 188.53342490388084]
[7, 3, 5, 9, 184.0099556038704]
[7, 3, 5, 10, 190.04658790906882]
[8, 3, 3, 5, 153.8715849091331]
[8, 3, 3, 6, 154.4594056506128]
[8, 3, 3, 7, 187.3819948949754]
[8, 3, 3, 8, 193.46872951066732]
[8, 3, 3, 9, 209.76676899331463]
[8, 3, 3, 10, 212.2327621243776]
[8, 3, 4, 5, 210.17148669498582]
[8, 3, 4, 6, 212.8618126186477]
[8, 3, 4, 7, 226.69513027079282]
[8, 3, 4, 8, 224.67642812483567]
[8, 3, 4, 9, 231.5889978184345]
