k_value,p_value,paa_value,max_level,ncp
7,6,4,7,0.186723138239805
7,6,4,8,0.2336656776702936
7,6,4,9,0.22248639211719293
7,6,4,10,0.22210209703820674
7,6,5,5,0.16938283491884656
7,6,5,6,0.19972489569165355
7,6,5,7,0.22379456974933146
7,6,5,8,0.22379456974933146
7,6,5,9,0.20677015163476126
7,6,5,10,0.20677015163476126
7,5,3,5,0.13688306513754556
7,5,3,6,0.16868609835974044
7,5,3,7,0.12619332536350342
7,5,3,8,0.14092434027175685
7,5,3,9,0.17788982417064075
7,5,3,10,0.1743017196972166
7,5,4,5,0.12324720246940209
7,5,4,6,0.1753184924134076
7,5,4,7,0.16111915131425317
7,5,4,8,0.19337656742673254
7,5,4,9,0.20607199350294855
7,5,4,10,0.21781437040167625
7,5,5,5,0.1467704241126079
7,5,5,6,0.14761592167270823
7,5,5,7,0.157713429731573
7,5,5,8,0.19296364339984431
7,5,5,9,0.20238093135533627
7,5,5,10,0.20344614630559688
7,4,3,5,0.13368087931415862
7,4,3,6,0.1362052891551495
7,4,3,7,0.10851001648120216
7,4,3,8,0.16303565581644394
7,4,3,9,0.1502804728880132
7,4,3,10,0.15293868895408338
7,4,4,5,0.10823169331727116
7,4,4,6,0.1492441755183972
7,4,4,7,0.14813728193819117
7,4,4,8,0.16296454946009542
7,4,4,9,0.1844391904300699
7,4,4,10,0.1662669131656563
7,4,5,5,0.12396887541137554
7,4,5,6,0.15488465879227872
7,4,5,7,0.15754004573938288
7,4,5,8,0.1445442125791165
7,4,5,9,0.1452871382680152
7,4,5,10,0.1452871382680152
7,3,3,5,0.07586150965159776
7,3,3,6,0.13101278013556758
7,3,3,7,0.13840864768920286
7,3,3,8,0.11264368519172392
7,3,3,9,0.12702730684287766
7,3,3,10,0.1253409274245093
7,3,4,5,0.09301245813637765
7,3,4,6,0.09485082386566197
7,3,4,7,0.151716646873258
7,3,4,8,0.174471608649631
7,3,4,9,0.11888536944847283
7,3,4,10,0.12067418819046973
7,3,5,5,0.10510971554366107
7,3,5,6,0.10782379810445518
7,3,5,7,0.13273683033428355
7,3,5,8,0.11818119646082297
7,3,5,9,0.16283291641711667
7,3,5,10,0.1661424653292966
7,2,3,5,0.09922021062361272
7,2,3,6,0.10434929849896707
7,2,3,7,0.07792284690236063
7,2,3,8,0.13517872271616718
7,2,3,9,0.15790761932896252
7,2,3,10,0.15146911276478828
7,2,4,5,0.06933947908527506
7,2,4,6,0.114888083173918
7,2,4,7,0.11640100165590374
7,2,4,8,0.15136005419394236
7,2,4,9,0.0974597247869813
7,2,4,10,0.09208528331581468
7,2,5,5,0.112431344286646
7,2,5,6,0.07751541100161097
7,2,5,7,0.12825195389632257
7,2,5,8,0.0786528892276093
7,2,5,9,0.12063692389882673
7,2,5,10,0.128412103392249
8,7,3,5,0.1455827283480604
8,7,3,6,0.14577392468487146
8,7,3,7,0.1783567140579514
8,7,3,8,0.20463311272227888
8,7,3,9,0.27457603204552433
8,7,3,10,0.2727524700048471
8,7,4,5,0.14201781515810447
8,7,4,6,0.15602315608756911
8,7,4,7,0.17631258612519887
8,7,4,8,0.21525941541433047
8,7,4,9,0.22453332953192184
8,7,4,10,0.22452897412465805
8,7,5,5,0.22726513895961223
8,7,5,6,0.23501268939786896
8,7,5,7,0.23389026385861622
8,7,5,8,0.23389026385861622
8,7,5,9,0.21739137899731456
8,7,5,10,0.21762881536824025
8,6,3,5,0.16440788355063923
8,6,3,6,0.13544750698098684
8,6,3,7,0.1542867419281693
8,6,3,8,0.17278593460292077
8,6,3,9,0.23962189686175417
8,6,3,10,0.19525484978665972
8,6,4,5,0.1601464147565059
8,6,4,6,0.13544918466899922
8,6,4,7,0.20644227283748515
8,6,4,8,0.22916959179999322
8,6,4,9,0.24183822547841585
8,6,4,10,0.24183822547841585
8,6,5,5,0.17702274255319864
8,6,5,6,0.17147123725684557
8,6,5,7,0.20414087715403817
8,6,5,8,0.21208236337530453
8,6,5,9,0.22131718539562417
8,6,5,10,0.22124684245383702
8,5,3,5,0.10331047567948663
8,5,3,6,0.1169740174791117
8,5,3,7,0.12046692895588695
8,5,3,8,0.14529570587961346
8,5,3,9,0.21407325111172776
8,5,3,10,0.1994341673119496
8,5,4,5,0.17291145726565638
8,5,4,6,0.12600750262077864
8,5,4,7,0.1781205925170543
8,5,4,8,0.19364841556169207
8,5,4,9,0.2063593855810738
8,5,4,10,0.21453565621966925
8,5,5,5,0.15531113229120644
8,5,5,6,0.18488701044373168
8,5,5,7,0.159455467107053
8,5,5,8,0.16024804965408923
8,5,5,9,0.20781519437651197
8,5,5,10,0.20608730047796686
8,4,3,5,0.08998351235519698
8,4,3,6,0.16042964041130478
8,4,3,7,0.15582231350125716
8,4,3,8,0.16162951871629547
8,4,3,9,0.19102557679776822
8,4,3,10,0.15004776557673874
8,4,4,5,0.16131552706092545
8,4,4,6,0.14467034334531173
8,4,4,7,0.11442791026902634
8,4,4,8,0.13801379584728207
8,4,4,9,0.16455887847913558
8,4,4,10,0.1728827214778687
8,4,5,5,0.12804928317496608
8,4,5,6,0.13054742416136345
8,4,5,7,0.15977072322687672
8,4,5,8,0.15015138381217802
8,4,5,9,0.1531174619526879
8,4,5,10,0.1526706077792561
8,3,3,5,0.07567562196756378
8,3,3,6,0.14119252584224756
8,3,3,7,0.10865915746037104
8,3,3,8,0.17229217324649554
8,3,3,9,0.12961680010164892
8,3,3,10,0.12972724325485624
8,3,4,5,0.1692768402879172
8,3,4,6,0.09711875395816706
8,3,4,7,0.1539512557597927
8,3,4,8,0.19115695050500062
8,3,4,9,0.18918434836884368
8,3,4,10,0.15974394631483488
8,3,5,5,0.09849481870126472
8,3,5,6,0.18992826924678338
8,3,5,7,0.18415261430771016
8,3,5,8,0.16107657992033672
8,3,5,9,0.1970007004666397
8,3,5,10,0.2012633362584906
8,2,3,5,0.10786471991487329
8,2,3,6,0.11386604727996182
8,2,3,7,0.14661837574122993
8,2,3,8,0.15988165211193509
8,2,3,9,0.13344482608592192
8,2,3,10,0.13296253348080136
8,2,4,5,0.13415247100928535
8,2,4,6,0.15945398085267332
8,2,4,7,0.1334125911991893
8,2,4,8,0.13295041069104424
8,2,4,9,0.13287424678695287
8,2,4,10,0.14578734127693058
8,2,5,5,0.08591516004475445
8,2,5,6,0.14449408914224335
8,2,5,7,0.1483748304540483
8,2,5,8,0.15315510861966794
8,2,5,9,0.15697722700255282
8,2,5,10,0.13235254078388775
9,8,3,5,0.16634166625720803
9,8,3,6,0.17329958415151886
9,8,3,7,0.1788427867421886
9,8,3,8,0.21309453181379226
9,8,3,9,0.23779650761248394
9,8,3,10,0.23837887428481871
9,8,4,5,0.21805783878856683
9,8,4,6,0.18448806714853538
9,8,4,7,0.24554379338169577
9,8,4,8,0.26124305030665607
9,8,4,9,0.3094235545069747
9,8,4,10,0.3162161139654392
9,8,5,5,0.26776018396405166
9,8,5,6,0.1965761712352867
9,8,5,7,0.24555676004189797
9,8,5,8,0.2467015838947523
9,8,5,9,0.24722391373218433
9,8,5,10,0.2516245510759119
9,7,3,5,0.1865811435483747
9,7,3,6,0.16838222449015225
9,7,3,7,0.16605519455572487
